SecurityID,rUpDown,Date,winRate,tradeCount,winLim,winCount,perWin,lossLim,lossCount,perLoss,dayLim,OverCount,perOver,cDownLim,cDownCount,percDown
300390,rU2D14,20220321,2.291,94,0.05,61,64.9,-2.0,0,0.0,7,14,14.9,-1,18,19.1
300390,rU2D15,20220321,2.289,96,0.05,50,52.1,-0.03,42,43.8,7,1,1.0,-1,2,2.1
300390,rU2D6,20220321,2.278,109,0.05,66,60.6,-2.0,0,0.0,7,9,8.3,-1,33,30.3
300390,rU3D7,20220321,2.275,91,0.05,58,63.7,-2.0,0,0.0,10,3,3.3,-1,29,31.9
300390,rU2D10,20220321,2.274,103,0.05,52,50.5,-0.03,45,43.7,5,1,1.0,-1,4,3.9
300390,rU2D5,20220321,2.268,112,0.05,56,50.0,-0.03,48,42.9,7,0,0.0,-1,7,6.2
300390,rU2D2,20220321,2.268,141,0.05,70,49.6,-2.0,0,0.0,10,0,0.0,-1,70,49.6
300390,rU2D2,20220321,2.268,141,0.05,70,49.6,-2.0,0,0.0,7,0,0.0,-1,70,49.6
300390,rU2D5,20220321,2.268,112,0.05,56,50.0,-0.03,48,42.9,10,0,0.0,-1,7,6.2
300390,rU2D9,20220321,2.261,106,0.05,54,50.9,-0.03,47,44.3,10,0,0.0,-1,4,3.8
300390,rU2D9,20220321,2.261,106,0.05,54,50.9,-0.03,47,44.3,7,0,0.0,-1,4,3.8
300390,rU3D20,20220321,2.255,80,0.05,56,70.0,-2.0,0,0.0,10,6,7.5,-1,17,21.2
300390,rU2D20,20220321,2.251,92,0.05,54,58.7,-2.0,0,0.0,5,23,25.0,-1,14,15.2
300390,rU3D16,20220321,2.243,82,0.05,52,63.4,-2.0,0,0.0,5,13,15.9,-1,16,19.5
300390,rU2D18,20220321,2.241,90,0.05,61,67.8,-2.0,0,0.0,10,10,11.1,-1,18,20.0
300390,rU3D16,20220321,2.238,83,0.05,44,53.0,-0.03,36,43.4,7,0,0.0,-1,2,2.4
300390,rU3D16,20220321,2.238,83,0.05,44,53.0,-0.03,36,43.4,10,0,0.0,-1,2,2.4
300390,rU2D10,20220321,2.227,103,0.05,52,50.5,-0.03,45,43.7,7,0,0.0,-1,5,4.9
300390,rU2D10,20220321,2.227,103,0.05,52,50.5,-0.03,45,43.7,10,0,0.0,-1,5,4.9
300390,rU2D7,20220321,2.225,110,0.05,55,50.0,-0.03,48,43.6,5,1,0.9,-1,5,4.5
300390,rU3D14,20220321,2.225,82,0.05,56,68.3,-2.0,0,0.0,10,6,7.3,-1,19,23.2
300390,rU2D12,20220321,2.224,111,0.03,82,73.9,-2.0,0,0.0,5,15,13.5,-1,14,12.6
300390,rU2D13,20220321,2.222,100,0.05,51,51.0,-0.03,44,44.0,5,1,1.0,-1,3,3.0
300390,rU2D13,20220321,2.222,100,0.05,51,51.0,-0.03,44,44.0,10,1,1.0,-1,3,3.0
300390,rU3D17,20220321,2.218,84,0.05,45,53.6,-0.03,37,44.0,7,0,0.0,-1,1,1.2
300390,rU3D17,20220321,2.218,84,0.05,45,53.6,-0.03,37,44.0,10,0,0.0,-1,1,1.2
300390,rU2D12,20220321,2.212,102,0.05,49,48.0,-0.03,41,40.2,3,9,8.8,-1,2,2.0
300390,rU2D6,20220321,2.211,108,0.05,67,62.0,-2.0,0,0.0,10,2,1.9,-1,38,35.2
300390,rU2D14,20220321,2.211,109,0.03,80,73.4,-2.0,0,0.0,5,17,15.6,-1,12,11.0
300390,rU3D14,20220321,2.211,84,0.05,45,53.6,-0.03,37,44.0,10,0,0.0,-1,1,1.2
300390,rU3D14,20220321,2.211,84,0.05,45,53.6,-0.03,37,44.0,7,0,0.0,-1,1,1.2
300390,rU2D9,20220321,2.211,108,0.05,51,47.2,-0.03,43,39.8,3,10,9.3,-1,3,2.8
300390,rU2D5,20220321,2.211,112,0.05,55,49.1,-0.03,48,42.9,5,2,1.8,-1,6,5.4
300390,rU2D5,20220321,2.205,111,0.05,66,59.5,-2.0,0,0.0,10,2,1.8,-1,42,37.8
300390,rU2D15,20220321,2.199,110,0.03,81,73.6,-2.0,0,0.0,5,17,15.5,-1,12,10.9
300390,rU3D14,20220321,2.193,82,0.05,55,67.1,-2.0,0,0.0,7,8,9.8,-1,18,22.0
300390,rU2D7,20220321,2.193,110,0.05,55,50.0,-0.03,48,43.6,10,0,0.0,-1,6,5.5
300390,rU2D7,20220321,2.193,110,0.05,55,50.0,-0.03,48,43.6,7,0,0.0,-1,6,5.5
300390,rU2D18,20220321,2.192,92,0.05,55,59.8,-2.0,0,0.0,5,23,25.0,-1,13,14.1
300390,rU2D7,20220321,2.188,112,0.05,53,47.3,-0.03,44,39.3,3,8,7.1,-1,6,5.4
300390,rU2D16,20220321,2.182,97,0.05,48,49.5,-0.03,42,43.3,5,3,3.1,-1,3,3.1
300390,rU2D10,20220321,2.171,105,0.05,49,46.7,-0.03,41,39.0,3,10,9.5,-1,4,3.8
300390,rU3D13,20220321,2.17,84,0.05,56,66.7,-2.0,0,0.0,10,6,7.1,-1,21,25.0
300390,rU2D13,20220321,2.168,100,0.05,51,51.0,-0.03,44,44.0,7,1,1.0,-1,3,3.0
300390,rU3D9,20220321,2.166,89,0.05,54,60.7,-2.0,0,0.0,5,11,12.4,-1,23,25.8
300390,rU2D5,20220321,2.165,114,0.05,54,47.4,-0.03,44,38.6,3,8,7.0,-1,7,6.1
300390,rU2D17,20220321,2.164,98,0.05,49,50.0,-0.03,43,43.9,5,3,3.1,-1,2,2.0
300390,rU2D8,20220321,2.16,106,0.05,66,62.3,-2.0,0,0.0,7,8,7.5,-1,31,29.2
300390,rU3D15,20220321,2.158,83,0.05,53,63.9,-2.0,0,0.0,5,12,14.5,-1,17,20.5
300390,rU2D4,20220321,2.155,119,0.05,58,48.7,-0.03,52,43.7,10,0,0.0,-1,8,6.7
300390,rU2D4,20220321,2.155,119,0.05,58,48.7,-0.03,52,43.7,7,0,0.0,-1,8,6.7
300390,rU3D7,20220321,2.144,91,0.05,57,62.6,-2.0,0,0.0,7,6,6.6,-1,27,29.7
300390,rU3D2,20220321,2.139,69,0.05,47,68.1,-2.0,0,0.0,5,21,30.4,-2,0,0.0
300390,rU2D14,20220321,2.132,96,0.05,49,51.0,-0.03,44,45.8,10,1,1.0,-1,1,1.0
300390,rU3D12,20220321,2.131,86,0.05,45,52.3,-0.03,38,44.2,10,0,0.0,-1,2,2.3
300390,rU3D12,20220321,2.131,86,0.05,45,52.3,-0.03,38,44.2,7,0,0.0,-1,2,2.3
300390,rU2D19,20220321,2.113,93,0.05,54,58.1,-2.0,0,0.0,5,23,24.7,-1,15,16.1
300390,rU2D2,20220321,2.11,82,0.03,69,84.1,-2.0,0,0.0,10,13,15.9,-2,0,0.0
